Asesor,Nombre de tesista,Año de publicación,Resumen,Insitución,Titulo de la tesis,Grado
"Villanueva Talavera, Edwin Rafael","Córdova Pérez, Claudia Sofía",2021-02-02,"El presente trabajo de investigación busca hacer una revisión sistemática sobre las técnicas actuales
que se usan para solucionar problemas de identificación y clasificación de plagas de insectos, los
cuales pueden ser para detectar uno o más tipos de insectos. Dentro de esta revisión, se encontró
soluciones como algoritmos de segmentación con cambio de espacio de color, lo cual permite remover
el fondo de una imagen y centrarse únicamente en el objeto de interés; también, el uso de modelos
de detección, por ejemplo YOLO y Faster R-CNN, los cuales están conformados por redes neuronales
convolucionales para lograr la identificación de insectos plaga; además, se encontraron soluciones
que hacían uso de SLIC (Simple Linear Iterative Clustering), así como el uso de un análisis multifractal.
Un aspecto relevante a tomar en cuenta para saber qué tan eficientes están siendo estas soluciones
son las métricas de evaluación con sus respectivos valores obtenidos; sin embargo, estos resultados
solo pueden ser comparables si se usa el mismo dataset para entrenamiento y validación. Por
consiguiente y dado que la mayoría de estudios recopilados usa un conjunto de datos propio, los
resultados mostrados nos sirven para tener una idea de la eficacia de sus soluciones, mas no para
comparar los valores de las métricas de evaluación de los distintos aproximamientos tomados en cada
estudio revisado.
Finalmente, el único insecto plaga que afecta los campos de hortalizas en el Perú y fue encontrado
dentro de los estudios fue la mosca blanca. Los demás estudios abordan el problema de detección
con otros tipos de insectos, los cuales no son relevantes para el problema de plagas en Perú, sin
embargo, sus soluciones son consideradas pues el cambio que se tendría que hacer es en el conjunto
de datos que alimenta a las soluciones presentadas en los estudios encontrados.",Pontificia Universidad Católica del Perú,Aplicación de aprendizaje profundo para la detección y clasificación automática de insectos agrícolas en trampas pegantes: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Beltrán Castañón, César Armando","Zárate Calderón, Gabriel Hélard",2021-02-02,"El análisis de sentimiento es un área de investigación importante en el procesamiento de lenguaje natural, la cual está en constante crecimiento especialmente por la generación de grandes volúmenes de información textual, y el avance tecnológico en lo que se refiere al almacenamiento y los algoritmos inteligentes para el análisis de esta.  Esta tarea cada vez va tomando más fuerza su uso en diferentes aplicaciones computacionales dado el crecimiento exponencial del uso de medios digitales y redes sociales, las cuales, gracias a la información debidamente procesada, pueden ser muy valiosas para los negocios.  
Actualmente existen procedimientos ambiguos para la realización de dicha tarea y sobre todo para textos en español y de manera específica para notas periodísticas y publicaciones realizadas en redes sociales, todo ello por el hecho de la escasa cantidad de herramientas existentes para la presente tarea, por ende el proceso de clasificación de las polaridades de los sentimientos expresadas en los textos se realiza de manera manual por expertos en el tema, generándose así resultados ambiguos y sesgados según la experiencia del encargado, lo cual generaba resultados que no eran del todo fiables retándole valor a dicha tarea, además del hecho de que realizarlo de manera totalmente manual resultaba muy pesado y se realizaba en un periodo largo de tiempo. 
Para la realización de dicha tarea existen múltiples técnicas de aprendizaje de máquina y de aprendizaje profundo que son adecuadas para este, pero en el último año uno de los modelos que va siendo reconocido cada vez más para ser aplicado a resolver problemas de procesamiento de lenguaje natural son los modelos basados en transformers dadas sus buenas capacidades y los resultados que se obtienen con estos. Ante dicha problemática surge la necesidad de investigar más acerca de cómo se vienen implementando soluciones para la realización de análisis de sentimiento para hacer una comparativa sobre los modelos usados y además dadas las buenas capacidades de los modelos basados en transformers investigar más a fondo la utilidad de estos y las aplicaciones que tiene para así comprobar sus buenas capacidades.",Pontificia Universidad Católica del Perú,Analítica de datos en información pública de medios periodísticos y redes sociales para el análisis de sentimiento: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Aguilera Serpa, César Augusto","Espezua Zapana, Bruno Víctor",2021-02-01,"El presente trabajo de investigación está enfocado en la revisión de literatura existente
relacionada a temas de uso y buenas prácticas de gestión de TI en empresas de administración
pública siguiendo una metodología de revisión sistemática. El propósito principal de esta
revisión se basa en la determinación de la situación actual del uso de buenas prácticas como
estándares y marcos de trabajo en la gestión de TI de empresas públicas en contextos diferentes
al peruano. Para la búsqueda de los estudios que permitan determinar esta situación, se sigue
el método PICOC para construir la cadena de búsqueda a emplear en cuatro repositorios
digitales: ACM Digital Library, IEEE Xtreme Digital Library, Scopus y Web of Science. Se
identificó a 271 artículos de los cuales se seleccionaron a 27 para la revisión. Estos artículos se
emplearon para responder a dos preguntas de investigación relacionadas a 1) el uso de buenas
prácticas de gestión de TI en empresas de administración pública y 2) los efectos como
consecuencia de la aplicación de buenas prácticas de gestión de TI en empresa de
administración pública. Se encontró que sí hay estándares y marcos de trabajo de gobierno de
TI aplicados en empresas de administración pública y que estos fueron un factor de éxito
considerados en el aumento de índices de gobierno electrónico de ciertos países.",Pontificia Universidad Católica del Perú,Uso y buenas prácticas de gestión de TI en entidades públicas,Bachiller en Ciencias con mención en Ingeniería Informática
"Quispe Vilchez, Eder Ramiro","Gonzáles Rodríguez, Edwin Frank",2021-01-19,"El presente trabajo de investigación presenta una revisión de literatura sobre un sistema de
información para la gestión de la dosificación de químicos en la fertilización de cultivos de
papa basado en reglas de inferencia.
En la introducción se presenta el contexto del tema a investigar, mencionando la falta de
información que presentan actualmente los medianos y pequeños agricultores del norte del
Perú.
Luego, desarrollando la revisión, primero se presenta la búsqueda sistemática realizada en
Scopus y IEEE mediante preguntas de investigación realizadas con el método PICOC. De
los artículos encontrados se realiza un filtro por criterios de exclusión e inclusión para obtener
los más relevantes.
Finalmente, se realiza una búsqueda tradicional para encontrar soluciones actuales que
tengan relación con el tema del presente trabajo. Así, finalmente se discute sobre los
resultados de ambas búsquedas.",Pontificia Universidad Católica del Perú,Sistema de información para la gestión de la dosificación de químicos en la fertilización de cultivos de papa basado en reglas de inferencia: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Quispe Vilchez, Eder Ramiro","Gonzales Delgado, Andrés",2020-12-17,"El presente trabajo describe la revisión de literatura realizada sobre la implementación de un sistema
de información para la asignación automática de especialista en la atención de reclamos sobre el
servicio eléctrico doméstico.
Se inicia con una breve descripción del problema que se busca resolver para el cual se realiza la
revisión de literatura. Este problema es principalmente la ausencia de un canal virtual para el
registro de reclamos sobre el servicio eléctrico doméstico por parte de la entidad supervisora
OSINERGMIN.
Luego de especifica el método de revisión de literatura a emplear la cual será principalmente una
revisión sistemática en múltiples bases de datos de artículos como Scopus o IEEE usando el
método PICOC como se describe en dicha sección. Luego estos artículos encontrados se filtran
utilizando criterios de inclusión y exclusión como el año de publicación o el contenido del artículo.
Finalmente, una vez seleccionados los artículos relevantes se procede a responder a las preguntas
de investigación planteadas durante la aplicación del método PICOC. En este caso se consideraron
3 preguntas que fueron respondidas utilizando todos los artículos relevantes.",Pontificia Universidad Católica del Perú,Implementación de un sistema de información para la asignación automática de especialista en la atención de reclamos sobre el servicio eléctrico doméstico: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Sipiran Mendoza, Iván Anselmo","Guillén Zapata, Handry James",2020-11-25,"La visualización de datos 3D es un aspecto muy importante para varios campos de trabajo
como la arquitectura, minería, videojuegos, diseño gráfico, geografía, etc. En especial en
este último, la geografía, el cual a diario necesita visualizar información topográfica para
hacer un estudio previo de los terrenos sin la necesidad de estar presente.
En Perú, el uso información 3D por parte de los geógrafos para analizar terrenos a detalle,
se ha vuelto una actividad de mucha importancia, debido a que el país es muy propenso a
sufrir de fenómenos naturales como el fenómeno del Niño. Esta información topográfica
suele ser de superficies de un gran tamaño que pueden llegar hasta un área de 7000
hectáreas, por lo que se necesita de procesar una inmensa cantidad de información 3D.
Es por esto que el presente trabajo de investigación se centra en revisar la literatura para
lograr una visualización de grandes cantidades de datos 3D. En primer lugar, se revisará
cómo es que se deben guardar y organizar los datos 3D para que puedan ser fácilmente
extraídos por el visualizador y qué tipo de estructura de datos es la mejor para este tipo de
trabajos. En segundo lugar, se revisarán los métodos que existen actualmente para poder
renderizar los datos 3D de forma fluida, con el objetivo de logar una visualización interactiva
del usuario sin exigir tantos recursos. Por último, se presentarán las conclusiones de los dos
puntos mencionados anteriormente y se explicarán cuáles son los mejores métodos para
realizar el proyecto de visualización de grandes cantidades de datos 3D.",Pontificia Universidad Católica del Perú,Visualización 3D de grandes cantidades de datos 3D para la prevención frente a desastres naturales: una revisión de la literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Sipiran Mendoza, Iván Anselmo","Carranza Cobeñas, Luis Alberto",2020-10-26,"Los objetos arqueológicos son típicamente expuestos a efectos climatológicos, erosión y estrés físico,
lo cual daña tanto parcialmente como de manera desigual sus superficies. Debido a estas condiciones,
sus zonas fracturadas tienden a abrir paso a más interpretaciones, mayor ambigüedad y a veces
vuelve imposible determinar su forma exacta para su reconstrucción. En la actualidad, existen
esfuerzos para mejorar esta reconstrucción mediante el uso de herramientas computacionales, tales
como métodos simétricos de reconstrucción; sin embargo, la mayoría de estos esfuerzos asumen que
estos objetos hechos por el hombre guardan algún tipo de estructura y regularidad, por lo que se
basan en métodos geométricos y simétricos complejos que limitan la reparación de las piezas
arqueológicas.",Pontificia Universidad Católica del Perú,Reconstrucción 3d de piezas arqueológicas a partir de imágenes: una revisión de la literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Baldeón Medrano, Johan Paúl","Díaz Gonzales, Bruno Alexander",2020-10-20,"En el presente trabajo de investigación se busca identificar estudios en los que se describan
videojuegos educativos con enfoque en el uso de estilos y mecánicas de aprendizaje, atención
y motivación del estudiante, y que cuenten con la posibilidad de configurar las actividades
utilizadas en el sistema, mediante autoría de juego o similares, para emplear un aprendizaje
diferenciado en grupos de estudiantes.
Para realizar la búsqueda, se realiza una revisión sistemática basada en la metodología definida
por Kitchenham & Charters (2007), que involucra el uso de PICOC para la definición de
criterios a utilizar en la búsqueda y facilita la construcción de las preguntas de investigación a
responder y de las cadenas de búsqueda a utilizar en las bases de datos a consultar.
Como es debido, se procede a responder las preguntas de investigación formuladas teniendo
como base los resultados obtenidos en la búsqueda, tras escoger más específicamente los
artículos obtenidos utilizando criterios de inclusión y exclusión definidos dentro de este trabajo
de investigación.",Pontificia Universidad Católica del Perú,Autoría de juegos y aprendizaje diferenciado en videojuegos educativos: una revisión de literatura,Bachiller en Ciencias con mención en Ingeniería Informática
"Huamán Monzón, Fernando Miguel","Cisneros Muñoz, Daniela Alexandra",2020-10-15,"En el presente trabajo de investigación se ha realizado una revisión sistemática de la literatura con el objetivo de establecer el contexto y forma en la que se están realizando los estudios de evaluación de accesibilidad a aplicaciones Web en el marco de gobierno electrónico. Por consiguiente, se formularon cinco preguntas de investigación relacionadas el lugar en el que se dio el estudio, la metodología seguida y la discapacidad objetivo. La búsqueda se realizó en dos de las bases de datos más relevantes en el área de ingeniería informática obteniendo 421 resultados. Una vez se aplicaron criterios de inclusión y exclusión definidos previamente, se seleccionaron 36 artículos relevantes para la investigación. Asimismo, se revisó el Repositorio digital de tesis PUCP con el fin de encontrar evaluaciones dentro del contexto peruano. De esa forma, se pudo determinar que se realizan estudios de evaluación más frecuentemente en países dentro de la región Américas, las pautas de accesibilidad Web más empleadas son las Pautas de Accesibilidad para el Contenido Web 2.0, el método de evaluación utilizado más frecuentemente es la evaluación automatizada, la herramienta más usada es AChecker y los estudios de accesibilidad se dirigen a las discapacidades de manera genérica. En cuanto al trabajo encontrado en el Repositorio digital de tesis PUCP, aún si no se trataba específicamente con una entidad gubernamental, este proporciono una idea sobre la realización de evaluaciones de accesibilidad Web en el Perú.",Pontificia Universidad Católica del Perú,Evaluación de accesibilidad a aplicaciones Web que ofrecen servicios de gobierno electrónico: Una revisión sistemática,Bachiller en Ciencias con mención en Ingeniería Informática
"Quispe Vilchez, Eder Ramiro","Caro Hijar, Martín Arnulfo",2020-10-15,"En el desarrollo del presente trabajo de investigación se tiene por objetivo identificar estudios en los que se describan sistemas de información orientados a la permanencia o captación de afiliados para una administradora de fondo de pensiones o similares, los cuales utilicen algoritmos de predicción basados en información histórica de traspasos que permitan tomar decisiones a las áreas de comerciales.
Para realizar esta búsqueda, se realiza una revisión sistemática basada en la metodología definida por Kitchenham y Charters, que incluye el uso de la técnica PICOC para la definición de criterios a utilizar en la búsqueda. Además, se formularon las preguntas de investigación a responder y las cadenas de búsqueda que se utilizaron en las bases de datos a consultar para obtener la información para responder las preguntas antes formuladas.
Para la elección de los artículos obtenidos para las respuestas se utilizó los criterios de inclusión y exclusión definidos dentro de este trabajo de investigación.",Pontificia Universidad Católica del Perú,Implementación de un sistema de información orientado a la captación y permanencia de afiliados para una administradora de fondos de pensiones basada en un histórico de traspasos: Una revisión de la literatura,Bachiller en Ciencias con mención en Ingeniería Informática
